"Sex","DateTime","state_manual","BirdID"
"F","27/02/2013 16:48","Travel",201314
"F","27/02/2013 17:03","Travel",201314
"F","27/02/2013 17:18","Travel",201314
"F","27/02/2013 17:33","Travel",201314
"F","27/02/2013 17:48","Travel",201314
"F","27/02/2013 18:03","Travel",201314
"F","27/02/2013 18:18","Search",201314
"F","27/02/2013 18:33","Search",201314
"F","27/02/2013 18:48","Search",201314
"F","27/02/2013 19:03","Search",201314
"F","27/02/2013 19:18","Search",201314
"F","27/02/2013 19:33","Search",201314
"F","27/02/2013 19:48","Search",201314
"F","27/02/2013 20:03","Search",201314
"F","27/02/2013 20:18","Search",201314
"F","27/02/2013 20:33","Search",201314
"F","27/02/2013 20:48","Search",201314
"F","27/02/2013 21:03","Search",201314
"F","27/02/2013 21:18","Search",201314
"F","27/02/2013 21:33","Search",201314
"F","27/02/2013 21:48","Search",201314
"F","27/02/2013 22:03","Search",201314
"F","27/02/2013 22:18","Search",201314
"F","27/02/2013 22:33","Search",201314
"F","27/02/2013 22:48","Travel",201314
"F","27/02/2013 23:03","Travel",201314
"F","27/02/2013 23:18","Travel",201314
"F","27/02/2013 23:33","Travel",201314
"F","27/02/2013 23:48","Travel",201314
"F","28/02/2013 00:03","Travel",201314
"F","28/02/2013 00:18","Travel",201314
"F","28/02/2013 00:33","Travel",201314
"F","28/02/2013 00:48","Travel",201314
"F","28/02/2013 01:03","Travel",201314
"F","28/02/2013 01:18","Travel",201314
"F","28/02/2013 01:33","Travel",201314
"F","28/02/2013 01:48","Travel",201314
"F","28/02/2013 02:03","Travel",201314
"F","28/02/2013 02:18","Travel",201314
"F","28/02/2013 02:33","Travel",201314
"F","28/02/2013 02:48","Travel",201314
"F","28/02/2013 03:03","Travel",201314
"F","28/02/2013 03:18","Travel",201314
"F","28/02/2013 03:33","Travel",201314
"F","28/02/2013 03:48","Travel",201314
"F","28/02/2013 04:03","Travel",201314
"F","28/02/2013 04:18","Travel",201314
"F","28/02/2013 04:33","Travel",201314
"F","28/02/2013 04:48","Travel",201314
"F","28/02/2013 05:03","Travel",201314
"F","28/02/2013 05:18","Rest",201314
"F","28/02/2013 05:33","Rest",201314
"F","28/02/2013 05:48","Rest",201314
"F","28/02/2013 06:03","Rest",201314
"F","28/02/2013 06:18","Rest",201314
"F","28/02/2013 06:33","Rest",201314
"F","28/02/2013 06:48","Rest",201314
"F","28/02/2013 07:03","Rest",201314
"F","28/02/2013 07:18","Rest",201314
"F","28/02/2013 07:33","Rest",201314
"F","28/02/2013 07:48","Rest",201314
"F","28/02/2013 08:03","Rest",201314
"F","28/02/2013 08:18","Travel",201314
"F","28/02/2013 08:33","Travel",201314
"F","28/02/2013 08:48","Travel",201314
"F","28/02/2013 09:03","Travel",201314
"F","28/02/2013 09:18","Travel",201314
"F","28/02/2013 09:33","Travel",201314
"F","28/02/2013 09:48","Travel",201314
"F","28/02/2013 10:03","Travel",201314
"F","28/02/2013 10:18","Travel",201314
"F","28/02/2013 10:33","Travel",201314
"F","28/02/2013 10:48","Travel",201314
"F","28/02/2013 11:03","Travel",201314
"F","28/02/2013 11:18","Travel",201314
"F","28/02/2013 11:33","Travel",201314
"F","28/02/2013 11:48","Travel",201314
"F","28/02/2013 12:03","Rest",201314
"F","28/02/2013 12:18","Rest",201314
"F","28/02/2013 12:33","Travel",201314
"F","28/02/2013 12:48","Travel",201314
"F","28/02/2013 13:03","Travel",201314
"F","28/02/2013 13:18","Travel",201314
"F","28/02/2013 13:33","Travel",201314
"F","28/02/2013 13:48","Travel",201314
"F","28/02/2013 14:03","Travel",201314
"F","28/02/2013 14:18","Travel",201314
