"","X.1","X","cone_ID","cone_n","cone_vert_lef","cone_vert_rig","meanGdist_45dB","maxGdist","abs_SPL_2000dB","abs_SPL_2000","abs_SPL_2000dB_std","birdID","TripID","mapID","counter","Sex","x_lon","y_lat","State","Dist_cro_shelf","max_dist","per_trav_dist","per_trip_time","Trip_state","WindSp","WindDir","Dev.wind","Dev.wind2","tw_sup_d","cw_sup_d","tw_sup_nod","cw_sup_nod"
"1",109,109,0,1,-45,-15,202.41935483871,2025,66.4961664456721,0.00178515789886476,-0.713826953325082,"201301_1",201301.1,"2013-02-01 21:00",32,"F",50.3023,-43.98475,"Travel",167.7175,1985.80339186064,2.93927601982286,2.21606648199446,"out",1.711488,-56.38105,-26.63685,26.63685,1.52984105918146,-0.767318387494103,1.52984105918146,0.767318387494103
"2",121,121,0,1,-87,-57,223.387096774194,2000,68.8062900940942,0.00303870822051921,0.0356261323506648,"201301_1",201301.1,"2013-02-02 03:00",56,"F",47.46953,-42.49361,"Travel",387.2847,1985.80339186064,6.08249533553878,3.8781163434903,"out",7.465397,-128.7331,-56.41921,56.41921,4.12920259292458,-6.2194725109284,4.12920259292458,6.2194725109284
"3",133,133,0,1,-99,-69,199.193548387097,2000,67.9051100379156,0.00246928373141497,-1.01179919117064,"201301_1",201301.1,"2013-02-02 13:00",99,"F",46.9144,-42.39856,"Travel",416.6977,1985.80339186064,6.83574235701272,6.85595567867036,"out",6.658496,-148.7069,-64.23477,64.23477,2.89434606944143,-5.99652647891468,2.89434606944143,5.99652647891468
"4",145,145,0,1,-94,-64,225.806451612903,2025,66.429664142416,0.00175803050084626,-0.722745561516353,"201301_1",201301.1,"2013-02-03 02:00",148,"F",44.86064,-41.70905,"Travel",574.7087,1985.80339186064,8.97824356666728,10.2493074792244,"out",9.07113,-163.8608,-84.87218,84.87218,0.810758683403945,-9.03482539035399,0.810758683403945,9.03482539035399
"5",157,157,0,1,-69,-39,200,1550,66.3768020469871,0.00173676155111339,-0.788666822887241,"201301_1",201301.1,"2013-02-03 13:00",195,"F",43.49101,-41.52784,"Travel",665.0571,1985.80339186064,11.6845132068974,13.5041551246537,"out",8.607309,-176.7364,-122.5413,122.5413,-4.62993523064482,-7.25599531294742,-4.62993523064482,7.25599531294742
"6",169,169,0,1,-47,-17,116.129032258065,1400,67.685299122826,0.00234741515247811,-2.04064821675762,"201301_1",201301.1,"2013-02-03 22:00",230,"F",41.41375,-41.25221,"Travel",813.0378,1985.80339186064,13.8016322046794,15.9279778393352,"out",5.446436,80.90391,112.6067,112.6067,-2.09362784920576,5.0279605737442,-2.09362784920576,5.0279605737442
"7",181,181,0,1,-71,-41,200,1300,69.6178803690966,0.00366309370343945,-0.759548844054347,"201301_1",201301.1,"2013-02-04 02:00",247,"F",40.30767,-40.47539,"Travel",940.0212,1985.80339186064,15.2992364492227,17.1052631578947,"out",10.35079,-4.989399,50.95477,50.95477,6.52031127259439,8.03892993703631,6.52031127259439,8.03892993703631
"8",193,193,0,1,-71,-41,198.387096774194,875,67.4062615672792,0.00220133504751063,-0.942724185847014,"201301_1",201301.1,"2013-02-04 10:00",276,"F",35.8881,-39.25982,"Travel",1318.766,1985.80339186064,19.585279701132,19.1135734072022,"out",8.5873,-16.17996,40.16884,40.16884,6.56195905512446,5.53917093515538,6.56195905512446,5.53917093515538
"9",205,205,0,1,-74,-44,193.548387096774,825,67.0651008565688,0.00203502653762059,-0.995849088692384,"201301_1",201301.1,"2013-02-04 11:00",281,"F",35.59416,-39.2672,"Travel",1338.502,1985.80339186064,20.0575663542761,19.4598337950139,"out",8.714683,-10.06204,48.74709,48.74709,5.74632253093825,6.55175374696885,5.74632253093825,6.55175374696885
"10",217,217,0,1,-157,-127,196.774193548387,1950,65.7338603044629,0.00149777308407093,-0.665536521983923,"201301_1",201301.1,"2013-02-05 02:00",343,"F",30.72292,-38.28715,"Travel",1746.612,1985.80339186064,25.274231483248,23.7534626038781,"out",5.852594,31.23789,172.8345,172.8345,-5.80688517900248,0.730028113648575,-5.80688517900248,0.730028113648575
"11",229,229,0,1,112,142,218.548387096774,1975,68.8773120515353,0.00308881001307223,1.09190575819314,"201301_1",201301.1,"2013-02-05 12:00",381,"F",29.71388,-39.31863,"Travel",1759.535,1985.80339186064,27.3056880303236,26.3850415512465,"out",4.74939,17.89774,-108.9658,108.9658,-1.54356938919558,-4.49155862845387,-1.54356938919558,4.49155862845387
"12",241,241,0,1,98,128,227.41935483871,2000,69.52155532883,0.00358274191158555,1.47351916463593,"201301_1",201301.1,"2013-02-05 15:00",392,"F",30.40035,-39.55093,"Travel",1695.503,1985.80339186064,28.0339740757837,27.1468144044321,"out",4.78622,42.47635,-70.4844,70.4844,1.59890141043423,-4.51125438964723,1.59890141043423,4.51125438964723
"13",253,253,0,1,21,51,197.58064516129,1975,66.38025180824,0.00173814167293964,0.129746442601547,"201301_1",201301.1,"2013-02-06 02:00",437,"F",31.88287,-40.11547,"Travel",1554.278,1985.80339186064,29.6312353491024,30.2631578947368,"out",6.512449,88.74882,52.28325,52.28325,3.98404487518241,5.15163841997221,3.98404487518241,5.15163841997221
"14",265,265,0,1,20,50,200,1775,67.4403139266067,0.0022186632204923,0.750814869769761,"201301_1",201301.1,"2013-02-06 09:00",465,"F",35.19414,-39.67691,"Travel",1339.811,1985.80339186064,33.1086063781958,32.202216066482,"out",7.043583,84.56177,49.31688,49.31688,4.59153581167984,5.34133507355142,4.59153581167984,5.34133507355142
"15",277,277,0,1,57,87,201.612903225806,2025,67.8166208162008,0.00241948020317963,1.13488036739835,"201301_1",201301.1,"2013-02-06 12:00",477,"F",35.95078,-39.16697,"Travel",1320.767,1985.80339186064,34.1121097604457,33.0332409972299,"mid",6.064996,86.64697,14.54239,14.54239,5.87068646489092,1.52289753790677,5.87068646489092,1.52289753790677
"16",289,289,0,1,81,111,279.032258064516,1975,66.82107061388,0.00192383159437945,1.12717670181924,"201301_1",201301.1,"2013-02-07 00:00",525,"F",38.56128,-40.12265,"Travel",1079.044,1985.80339186064,36.9896551026333,36.3573407202216,"mid",3.59811,48.43823,-47.19404,47.19404,2.44497915937548,-2.63978644634742,2.44497915937548,2.63978644634742
