"","X.5","ID","step","angle","X.4","X.3","X.2","X.1","X","BirdId","TripID","Ring","Sex","Year","DateTime","DistTrav","WindU","WindV","WindSp","WindDir","SpeedKmH","Flying","Bearing","Dev.wind","Dev.wind2","Wind_sp_f","LoD","Dist_cro_shelf","x","y","State","Longitude","Latitude","Dist_col","max_dist"
"1",24984,201313.2,3.86162446783113,NA,98425,98425,91777,98537,98537,"201313","201313.2","BS5682","M",2013,2013-02-02 08:42:21,3.861619,2.949214,-6.812564,7.423537,156.5918,15.44647,"Yes",-80.08126,-123.3269,123.3269,-4.078606,"L",4.529863,51.63928,-46.35635,"Search",51.63928,-46.35635,10.9233708129472,779.844617614902
"2",24985,201313.2,12.5538827452784,0.532290108245789,98426,98426,91778,98538,98538,"201313","201313.2","BS5682","M",2013,2013-02-02 08:57:21,12.55406,2.949214,-6.812564,7.423537,156.5918,50.21623,"Yes",-110.5878,-92.82038,92.82038,-0.365275,"L",6.09285,51.58986,-46.35036,"Search",51.58986,-46.35036,14.6606756962964,779.844617614902
"3",24986,201313.2,13.2342132066906,0.632615736831885,98427,98427,91779,98539,98539,"201313","201313.2","BS5682","M",2013,2013-02-02 09:12:21,13.23445,3.647185,-7.406293,8.255613,153.7823,52.93782,"Yes",-146.833,-59.38465,59.38465,4.204352,"L",4.259396,51.43707,-46.38997,"Search",51.43707,-46.38997,25.3299219227404,779.844617614902
"4",24987,201313.2,13.2058396106879,0.805975649530536,98428,98428,91780,98540,98540,"201313","201313.2","BS5682","M",2013,2013-02-02 09:27:21,13.20595,3.578667,-7.619859,8.418379,154.8429,52.82379,"Yes",166.9855,-12.14257,12.14257,8.230037,"L",7.217024,51.34277,-46.48959,"Search",51.34277,-46.48959,34.0109309740071,779.844617614902
"5",24988,201313.2,5.67583170994149,0.10592639435026,98429,98429,91853,98541,98541,"201313","201313.2","BS5682","M",2013,2013-02-02 09:42:21,5.675406,2.988968,-6.746811,7.379254,156.1057,22.70163,"Yes",160.9208,-4.81505,4.81505,7.353211,"L",1.06455,51.38158,-46.60533,"Search",51.38158,-46.60533,37.3252188884738,779.844617614902
"6",24989,201313.2,0.333663967800638,1.14431416623976,98430,98430,91854,98542,98542,"201313","201313.2","BS5682","M",2013,2013-02-02 09:57:21,0.333744,3.076044,-6.697077,7.369728,155.3301,1.334976,"No",95.52875,59.80139,59.80139,3.706965,"L",4.69366,51.40582,-46.65358,"Search",51.40582,-46.65358,39.506176456249,779.844617614902
"7",24990,201313.2,0.283608899047158,0.183698909522072,98431,98431,91855,98543,98543,"201313","201313.2","BS5682","M",2013,2013-02-02 10:12:21,0.2838515,3.076044,-6.697077,7.369728,155.3301,1.135406,"No",84.6983,70.63184,70.63184,2.444074,"L",4.941269,51.41016,-46.65386,"Search",51.41016,-46.65386,39.2967110774488,779.844617614902
"8",24991,201313.2,4.97683638326232,-1.55758932965135,98432,98432,91856,98544,98544,"201313","201313.2","BS5682","M",2013,2013-02-02 10:27:21,4.977102,3.076044,-6.697077,7.369728,155.3301,19.90841,"Yes",174.0742,-18.74405,18.74405,6.978863,"L",5.095152,51.41385,-46.65363,"Search",51.41385,-46.65363,39.0823977176883,779.844617614902
"9",24992,201313.2,9.79435032572712,-0.253003837926877,98433,98433,91929,98545,98545,"201313","201313.2","BS5682","M",2013,2013-02-02 10:42:21,9.794537,3.961363,-7.275526,8.284061,151.4327,39.17815,"Yes",-171.4308,-37.13649,37.13649,6.60405,"L",5.945552,51.42057,-46.69816,"Search",51.42057,-46.69816,42.4713438915741,779.844617614902
"10",24993,201313.2,3.46107666153885,-0.124656748757782,98434,98434,91930,98546,98546,"201313","201313.2","BS5682","M",2013,2013-02-02 10:57:21,3.461034,3.961363,-7.275526,8.284061,151.4327,13.84414,"Yes",-164.294,-44.27336,44.27336,5.931532,"L",0.5812321,51.40146,-46.78528,"Search",51.40146,-46.78528,51.1871558823366,779.844617614902
"11",24994,201313.2,10.6815835159328,-0.571861692303289,98435,98435,91931,98547,98547,"201313","201313.2","BS5682","M",2013,2013-02-02 11:12:21,10.68164,3.961363,-7.275526,8.284061,151.4327,42.72654,"Yes",-131.5208,-77.04651,77.04651,1.856955,"L",2.663954,51.38918,-46.81525,"Search",51.38918,-46.81525,54.5010521837842,779.844617614902
"12",24995,201313.2,11.4857195524759,-0.328924391605971,98436,98436,91932,98548,98548,"201313","201313.2","BS5682","M",2013,2013-02-02 11:27:21,11.48544,3.902904,-7.423365,8.386835,152.2664,45.94177,"Yes",-112.6792,-95.05438,95.05438,-0.7388902,"L",1.263249,51.28427,-46.8789,"Travel",51.28427,-46.8789,64.8204534658018,779.844617614902
"13",24996,201313.2,13.3998831610948,0.301040090975147,98437,98437,92002,98549,98549,"201313","201313.2","BS5682","M",2013,2013-02-02 11:42:21,13.40021,3.62458,-8.257633,9.018098,156.3016,53.60085,"Yes",-129.9275,-73.77089,73.77089,2.520368,"L",6.884263,51.14514,-46.91865,"Travel",51.14514,-46.91865,74.7574504251907,779.844617614902
"14",24997,201313.2,9.03354888886997,-1.2909797528341,98438,98438,92003,98550,98550,"201313","201313.2","BS5682","M",2013,2013-02-02 11:57:21,9.033704,3.951567,-8.689665,9.54595,155.5466,36.13482,"Yes",-55.95601,-148.4973,148.4973,-8.139029,"L",19.89095,51.01004,-46.99593,"Search",51.01004,-46.99593,87.9670921303457,779.844617614902
"15",24998,201313.2,6.96047025003608,-1.30151419967922,98439,98439,92004,98551,98551,"201313","201313.2","BS5682","M",2013,2013-02-02 12:12:21,6.960814,3.535949,-8.481159,9.188743,157.3679,27.84326,"Yes",18.61102,138.7568,138.7568,-6.909186,"L",22.66493,50.91171,-46.9504,"Search",50.91171,-46.9504,89.5473133373043,779.844617614902
"16",24999,201313.2,6.25932687728309,-0.546405501257878,98440,98440,92005,98552,98552,"201313","201313.2","BS5682","M",2013,2013-02-02 12:27:21,6.258489,3.535949,-8.481159,9.188743,157.3679,25.03395,"Yes",49.9206,107.4473,107.4473,-2.75504,"L",17.82106,50.94086,-46.89106,"Search",50.94086,-46.89106,83.4948748147633,779.844617614902
"17",25000,201313.2,12.0018322571247,0.149947361794668,98441,98441,92074,98553,98553,"201313","201313.2","BS5682","M",2013,2013-02-02 12:42:21,12.00221,3.858439,-8.975415,9.769628,156.7376,48.00882,"Yes",41.32911,115.4085,115.4085,-4.191848,"L",11.61332,51.00366,-46.85479,"Search",51.00366,-46.85479,77.2384985954868,779.844617614902
"18",25001,201313.2,9.26443896693173,0.457522908558547,98442,98442,92075,98554,98554,"201313","201313.2","BS5682","M",2013,2013-02-02 12:57:21,9.26468,3.735837,-8.958803,9.706525,157.3638,37.05872,"Yes",15.11259,142.2512,142.2512,-7.674971,"L",0.3950131,51.10743,-46.77367,"Search",51.10743,-46.77367,65.3772724966699,779.844617614902
"19",25002,201313.2,6.28657069504239,1.30110965763532,98443,98443,92076,98555,98555,"201313","201313.2","BS5682","M",2013,2013-02-02 13:12:21,6.286427,3.735837,-8.958803,9.706525,157.3638,25.14571,"Yes",-59.43261,-143.2036,143.2036,-7.772686,"L",4.968899,51.13901,-46.69321,"Search",51.13901,-46.69321,58.0928133554457,779.844617614902
"20",25003,201313.2,7.3733589531259,0.920499693661677,98444,98444,92077,98556,98556,"201313","201313.2","BS5682","M",2013,2013-02-02 13:27:21,7.37396,3.185434,-8.832031,9.388917,160.1672,29.49584,"Yes",-112.1759,-87.6569,87.6569,0.3838507,"L",4.117491,51.06828,-46.66443,"Search",51.06828,-46.66443,61.0508045172784,779.844617614902
"21",25004,201313.2,6.74989583057632,0.0700535024690129,98445,98445,92146,98557,98557,"201313","201313.2","BS5682","M",2013,2013-02-02 13:42:21,6.749676,4.659436,-8.460783,9.658944,151.158,26.9987,"Yes",-116.1875,-92.65455,92.65455,-0.4473441,"L",1.135742,50.97902,-46.68943,"Travel",50.97902,-46.68943,68.3745641780299,779.844617614902
"22",25005,201313.2,10.8350265028049,-0.150779233413864,98446,98446,92147,98558,98558,"201313","201313.2","BS5682","M",2013,2013-02-02 13:57:21,10.83495,4.659436,-8.460783,9.658944,151.158,43.33978,"Yes",-107.5473,-101.2947,101.2947,-1.891762,"L",4.162072,50.8998,-46.7162,"Travel",50.8998,-46.7162,75.1146091603547,779.844617614902
"23",25006,201313.2,10.1877639452451,-0.116223837849694,98447,98447,92148,98559,98559,"201313","201313.2","BS5682","M",2013,2013-02-02 14:12:21,10.18788,4.811066,-8.332364,9.621572,149.9981,40.75153,"Yes",-100.8903,-109.1117,109.1117,-3.150203,"L",5.09179,50.76461,-46.74551,"Travel",50.76461,-46.74551,85.7893319390933,779.844617614902
"24",25007,201313.2,11.450635041455,0.227488886814826,98448,98448,92149,98560,98560,"201313","201313.2","BS5682","M",2013,2013-02-02 14:27:21,11.45051,4.811066,-8.332364,9.621572,149.9981,45.80203,"Yes",-113.9282,-96.07377,96.07377,-1.018047,"L",4.968821,50.63365,-46.76275,"Travel",50.63365,-46.76275,95.6356579605229,779.844617614902
"25",25008,201313.2,8.71341919434677,-0.144705312458347,98449,98449,92218,98561,98561,"201313","201313.2","BS5682","M",2013,2013-02-02 14:42:21,8.713894,4.963597,-7.752997,9.205773,147.372,34.85558,"Yes",-105.6341,-106.994,106.994,-2.69058,"L",13.33177,50.49653,-46.80444,"Travel",50.49653,-46.80444,107.071789712852,779.844617614902
"26",25009,201313.2,7.57585290236745,-0.33287093799603,98450,98450,92219,98562,98562,"201313","201313.2","BS5682","M",2013,2013-02-02 14:57:21,7.575819,4.96537,-7.790456,9.238295,147.488,30.30328,"Yes",-86.55908,-125.953,125.953,-5.423996,"L",21.03925,50.38656,-46.82551,"Travel",50.38656,-46.82551,115.67892316893,779.844617614902
"27",25010,201313.2,9.6211713288762,0.35285031341333,98451,98451,92220,98563,98563,"201313","201313.2","BS5682","M",2013,2013-02-02 15:12:21,9.621133,4.96537,-7.790456,9.238295,147.488,38.48453,"Yes",-106.7755,-105.7366,105.7366,-2.505561,"L",22.46929,50.28746,-46.82138,"Travel",50.28746,-46.82138,122.458769987746,779.844617614902
